PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? 
4,Text 7,news_pa.5274,4,news,3,43,92.469,0,2,208,0.0673,50.0,' impliceerde',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,Somewhat useful,Very accurate
4,Text 7,news_pa.5274,4,news,4,6,19.619,0,0,256,0.0,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,Somewhat useful,Very accurate
4,Text 7,news_pa.5274,4,news,5,16,64.635,0,2,223,0.0717,50.0,'bitcoinbeleggers',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,Somewhat useful,Very accurate
4,Text 7,news_pa.5274,4,news,6,230,240.484,0,6,523,0.1338,100.0,"''Met'; 'investeringsmiddel'; 'oplossingsarm'; 'naar'; 'Amerikanen mogelijk zal maken','",Somewhat easy,Very good,Somewhat useful,Somewhat accurate,Somewhat useful,Very accurate
4,Text 8,doc13,4,medical,1,16,29.916,0,2,104,0.2788,100.0,'In het licht van',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
4,Text 8,doc13,4,medical,2,1,8.759,0,1,174,0.0862,100.0,'traumapatiënten',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
4,Text 8,doc13,4,medical,3,51,105.144,0,4,225,0.2178,100.0,'het onderzoeken van'; 'belangrijke gebieden.',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
4,Text 8,doc13,4,medical,4,11,43.31699999999999,0,3,106,0.3962,100.0,'patiënten'met''; 'voor geriatrische patiënten.',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
4,Text 8,doc13,4,medical,5,43,50.367000000000004,0,4,287,0.0871,100.0,'duidelijk meer'; 'gemeld',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
4,Text 8,doc13,4,medical,6,51,94.723,4,0,231,0.1169,75.0,' '; 'lengte',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
4,Text 8,doc13,4,medical,7,24,58.11300000000001,0,3,297,0.1414,100.0,'Orthogeriatrische'; 'prestaties bij overdracht',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
4,Text 8,doc13,4,medical,8,25,21.503999999999998,0,1,168,0.0595,0.0,'medebeheer',Neutral,Very good,Somewhat useful,Somewhat accurate,Extremely useful,Very accurate
5,Text 1,news_pa.5274,1,news,1,0,15.671,0,0,92,0.0,N/A,,Neutral,Fair,nan,nan,nan,nan
5,Text 1,news_pa.5274,1,news,2,33,83.62199999999999,0,0,202,0.0,N/A,,Neutral,Fair,nan,nan,nan,nan
5,Text 1,news_pa.5274,1,news,3,21,95.05199999999999,0,0,208,0.0,N/A,,Neutral,Fair,nan,nan,nan,nan
5,Text 1,news_pa.5274,1,news,4,9,44.263,0,0,256,0.0,N/A,,Neutral,Fair,nan,nan,nan,nan
5,Text 1,news_pa.5274,1,news,5,5,56.56,0,0,223,0.0,N/A,,Neutral,Fair,nan,nan,nan,nan
5,Text 1,news_pa.5274,1,news,6,78,411.248,0,0,523,0.0,N/A,,Neutral,Fair,nan,nan,nan,nan
5,Text 2,doc13,1,medical,1,0,17.851,0,0,104,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 2,doc13,1,medical,2,21,44.18,0,0,174,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 2,doc13,1,medical,3,34,164.074,0,0,225,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 2,doc13,1,medical,4,18,55.715999999999994,0,0,106,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 2,doc13,1,medical,5,6,49.447,0,0,287,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 2,doc13,1,medical,6,24,61.40599999999999,0,0,229,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 2,doc13,1,medical,7,23,31.996000000000002,0,0,297,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 2,doc13,1,medical,8,2,60.207,0,0,168,0.0,N/A,,Neutral,Good,nan,nan,nan,nan
5,Text 3,news_scotsman.87462,2,news,1,46,82.46500000000002,2,0,111,0.2072,N/A,'omworstelaars'; 'steak pies',Neutral,Insufficient,Somewhat useful,Somewhat accurate,nan,nan
5,Text 3,news_scotsman.87462,2,news,2,33,88.144,1,0,206,0.0728,N/A,'kers op de hoek',Neutral,Insufficient,Somewhat useful,Somewhat accurate,nan,nan
5,Text 3,news_scotsman.87462,2,news,3,9,50.437999999999995,1,1,222,0.2568,N/A,'de PA dat er'momenteel plannen zijn' om',Neutral,Insufficient,Somewhat useful,Somewhat accurate,nan,nan
5,Text 3,news_scotsman.87462,2,news,4,66,92.474,2,1,133,0.2481,N/A,'op een netto basis',Neutral,Insufficient,Somewhat useful,Somewhat accurate,nan,nan
5,Text 3,news_scotsman.87462,2,news,5,14,54.07299999999999,1,0,118,0.0339,N/A,,Neutral,Insufficient,Somewhat useful,Somewhat accurate,nan,nan
5,Text 3,news_scotsman.87462,2,news,6,94,96.826,3,0,258,0.0814,N/A,'pudding'; 'kerstpudding'; 'ba',Neutral,Insufficient,Somewhat useful,Somewhat accurate,nan,nan
5,Text 3,news_scotsman.87462,2,news,7,15,78.56899999999999,2,3,220,0.2727,N/A,'enten niet onder druk staan',Neutral,Insufficient,Somewhat useful,Somewhat accurate,nan,nan
5,Text 4,doc18,2,medical,1,19,116.57,1,1,195,0.159,N/A,'uitkomst helpt niet',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
5,Text 4,doc18,2,medical,2,81,180.522,0,1,198,0.0101,N/A,'en',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
5,Text 4,doc18,2,medical,3,137,352.70599999999996,1,7,467,0.1906,N/A,'VPT-prematuren'; 'tional age < 32'; 's'; 'mentale verwerkingscomposiet'; 'onderzoek'; 'peut',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
5,Text 4,doc18,2,medical,4,35,96.694,1,3,86,0.7558,N/A,'jarige zuigelingen die VPT-geboren waren',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
5,Text 4,doc18,2,medical,5,29,81.76700000000001,2,4,162,0.4074,N/A,'jarige zuigelingen'; 'VPT'; 'waren',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
5,Text 4,doc18,2,medical,6,0,12.655000000000001,0,4,94,0.5319,N/A,,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
5,Text 4,doc18,2,medical,7,15,34.637,0,2,117,0.1709,N/A,'uitkomst',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,1,76,134.47299999999998,0,2,46,0.5217,N/A,'Geef'; 'WA opnieuw toezicht.',Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,2,9,57.683,0,2,82,0.4878,N/A,,Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,3,8,14.521,0,1,295,0.0339,N/A,,Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,4,0,18.684,0,3,162,0.1543,N/A,'De',Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,5,15,27.401,0,0,112,0.0,N/A,,Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,6,17,46.016,0,2,304,0.1118,N/A,'mensen worden verwond.',Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,7,1,50.931,0,5,303,0.1782,N/A,"'gevangenissen, op basis van gegevens.'",Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 5,news_seattle_times.799809,3,news,8,12,48.867999999999995,0,0,275,0.0,N/A,,Somewhat easy,Good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,1,0,9.326,0,0,81,0.0,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,2,0,10.552,0,3,102,0.1863,N/A,'apparatuurkosten.',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,3,0,14.412,0,1,128,0.1328,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
